0	臺北市稅捐稽徵處財產稅科
1	臺北市藝文推廣處
2	臺北市政府勞動局就業安全科
3	臺北市政府都市發展局
4	臺北市內湖區公所
5	臺北市就業服務處
6	臺北市市政大樓公共事務管理中心
7	臺北市政府捷運工程局
8	臺北市政府警察局
9	臺北市政府衛生局醫事管理科
10	臺北市建築管理工程處建照科
11	臺北市立圖書館
12	臺北市政府教育局人事室
13	臺北市稅捐稽徵處法務科
14	臺北市政府產業發展局科技產業服務中心
15	臺北市政府教育局終身教育科
16	臺北市政府教育局綜合企劃科
17	臺北市立動物園
18	臺北市政府勞動局勞資關係科
19	臺北市政府衛生局疾病管制科
20	臺北市政府民政局戶籍行政科
21	臺北翡翠水庫管理局
22	臺北市政府勞動局勞動基準科
23	臺北市政府社會局
24	臺北市政府衛生局健康管理科
25	臺北市政府民政局區政監督科
26	臺北市市場處公有零售市場科
27	臺北市政府交通局
28	臺北市政府勞動局
29	臺北市政府法務局
30	臺北市政府資訊局設備網路組
31	臺北市稅捐稽徵處企劃服務科
32	臺北市政府工務局新建工程處工程配合科
33	臺北市政府財政局菸酒暨稅務管理科
34	臺北市政府環境保護局內湖垃圾焚化廠
35	臺北市公共運輸處業務稽查科
36	臺北大眾捷運股份有限公司
37	臺北市市場處批發市場科
38	臺北市政府捷運工程局機電系統工程處
39	臺北市政府工務局公園路燈工程管理處青年公園管理所
40	臺北市停車管理工程處
41	臺北市都市更新處
42	臺北市政府地政局地權及不動產交易科
43	臺北市政府環境保護局空污噪音防制科
44	臺北市公共運輸處大眾運輸科
45	臺北市政府產業發展局農業發展科
46	臺北市政府地政局土地開發科
47	臺北市政府地政局測繪科
48	臺北市政府兵役局
49	臺北市政府人事處考訓科
50	臺北市職能發展學院
51	臺北市政府教育局中等教育科
52	臺北市青少年發展處
53	臺北市政府工務局水利工程處河川管理科
54	臺北市政府工務局衛生下水道工程處
55	臺北自來水事業處
56	臺北市建築管理工程處施工科
57	臺北市公共運輸處綜合規劃科
58	臺北市政府工務局大地工程處
59	臺北市政府教育局學前教育科
60	臺北市動物保護處產業保育組
61	臺北市政府環境保護局秘書室
62	臺北市政府環境保護局綜合企劃科
63	臺北市政府勞動局職業安全衛生科
64	臺北市政府文化局
65	臺北市政府文化局藝術發展科
66	臺北市政府環境保護局廢棄物處理管理科
67	臺北市立天文科學教育館
68	臺北市政府環境保護局環保稽查大隊
69	臺北市政府環境保護局木柵垃圾焚化廠
70	臺北市政府人事處給與科
71	臺北市稅捐稽徵處稅務管理科
72	臺北市立聯合醫院
73	臺北市政府工務局水利工程處雨水下水道工程科
74	臺北市政府環境保護局資源循環管理科
75	臺北市立陽明教養院
76	臺北市政府研究發展考核委員會
77	臺北市政府資訊局應用服務組
78	臺北市立文獻館
79	臺北市政府勞動局勞動教育文化科
80	臺北市交通事件裁決所違規申訴課
81	臺北市動物保護處動物收容組
82	臺北市政府民政局人口政策科
83	臺北市市場處攤販科
84	臺北市政府社會局人民團體科
85	臺北市政府教育局特殊教育科
86	臺北市建築管理工程處公寓大廈科
87	臺北市建築管理工程處使用科
88	臺北市政府教育局國小教育科
89	臺北市政府產業發展局工商服務科
90	臺北市政府地政局地價科
91	臺北市政府資訊局綜合企劃組
92	臺北市政府社會局社會工作科
93	臺北市政府社會局兒童及少年福利科
94	臺北市政府地政局地用科
95	臺北市交通事件裁決所案件管理課
96	臺北市立美術館
97	臺北市政府工務局公園路燈工程管理處
98	臺北市政府交通局交通治理科
99	臺北市政府環境保護局廢棄物處理場
100	臺北市中山堂管理所
101	臺北市政府環境保護局北投垃圾焚化廠
102	臺北市政府衛生局長期照護科
103	臺北市政府秘書處
104	臺北市政府社會局身心障礙者福利科
105	臺北市政府警察局交通警察大隊
106	臺北市政府教育局軍訓室
107	臺北市勞動檢查處
108	臺北市政府工務局衛生下水道工程處迪化污水處理廠
109	臺北市政府都市發展局都市測量科
110	臺北市政府社會局社會救助科
111	臺北市商業處
112	臺北市政府原住民族事務委員會
113	臺北市政府社會局老人福利科
114	臺北市殯葬管理處
115	臺北市政府工務局衛生下水道工程處營運管理科
116	臺北市政府教育局資訊教育科
117	臺北市公共運輸處一般運輸科
118	臺北市交通事件裁決所肇事鑑定課
119	臺北市立聯合醫院昆明防治中心
120	臺北市政府警察局婦幼警察隊
121	臺北市政府民政局宗教禮俗科
122	臺北市政府客家事務委員會
123	臺北市政府衛生局食品藥物管理科 
124	臺北市政府工務局公園路燈工程管理處園藝工程隊
125	臺北市政府產業發展局公用事業科
126	臺北市信義區公所
127	臺北市政府主計處
128	臺北市政府公務人員訓練處
129	臺北市政府體育局
130	臺北市政府警察局刑事警察大隊
131	臺北市政府教育局體育及衛生保健科
132	臺北市政府社會局婦女福利及兒童托育科
133	臺北市交通管制工程處設施科
134	臺北市動產質借處業務組
135	臺北市政府環境保護局環境清潔管理科
136	臺北市動物保護處動物管理組
137	臺北市勞動力重建運用處
138	臺北市政府觀光傳播局
139	臺北市政府環境保護局水質病媒管制科
140	臺北市政府工務局新建工程處共同管道科
141	臺北市政府消防局
142	臺北市稅捐稽徵處機會稅科
143	臺北市政府工務局
144	臺北市動物保護處防疫檢驗組
145	臺北市交通事件裁決所違規裁罰課
146	臺北市政府捷運工程局南區工程處
147	臺北市動物保護處動物救援隊
148	臺北市政府地政局土地登記科
